Tamanho,Tipo de Lista,Tempo
10000,Grande Aleatoria,2.848602533340454
20000,Grande Aleatoria,10.953385591506958
30000,Grande Aleatoria,25.33281421661377
40000,Grande Aleatoria,46.24214315414429
50000,Grande Aleatoria,74.21604061126709
60000,Grande Aleatoria,102.28907203674316
70000,Grande Aleatoria,145.27659940719604
80000,Grande Aleatoria,229.66284728050232
90000,Grande Aleatoria,252.0333240032196
100000,Grande Aleatoria,293.0302746295929
10000,Grande Ordenada,0.0010008811950683594
20000,Grande Ordenada,0.0030007362365722656
30000,Grande Ordenada,0.004614591598510742
40000,Grande Ordenada,0.00600123405456543
50000,Grande Ordenada,0.008358955383300781
60000,Grande Ordenada,0.00957489013671875
70000,Grande Ordenada,0.012444734573364258
80000,Grande Ordenada,0.014931678771972656
90000,Grande Ordenada,0.016591548919677734
100000,Grande Ordenada,0.018044233322143555
10000,Grande Ordenada Reversa,4.3554065227508545
20000,Grande Ordenada Reversa,20.58070421218872
30000,Grande Ordenada Reversa,50.19435214996338
40000,Grande Ordenada Reversa,88.5389015674591
50000,Grande Ordenada Reversa,153.47004675865173
60000,Grande Ordenada Reversa,215.0825433731079
70000,Grande Ordenada Reversa,327.03740429878235
80000,Grande Ordenada Reversa,463.59585189819336
90000,Grande Ordenada Reversa,546.1598978042603
100000,Grande Ordenada Reversa,702.7001204490662
